"Peel","Year","metric","value"
5,1979,"F",0.1642432
5,1980,"F",0.1927067
5,1981,"F",0.2535167
5,1982,"F",0.3134339
5,1983,"F",0.3255411
5,1984,"F",0.3914931
5,1985,"F",0.4764963
5,1986,"F",0.5239835
5,1987,"F",0.6212652
5,1988,"F",0.6354286
5,1989,"F",0.6144898
5,1990,"F",0.6440002
5,1991,"F",0.5780535
5,1992,"F",0.8951216
5,1993,"F",1.077001
5,1994,"F",0.7472223
5,1995,"F",0.7072272
5,1996,"F",0.5468837
5,1997,"F",0.3639466
5,1998,"F",0.346366
5,1999,"F",0.487068
5,2000,"F",0.4560871
5,2001,"F",0.4653602
5,2002,"F",0.3469609
5,2003,"F",0.4559602
5,2004,"F",0.3481204
5,2005,"F",0.3199734
5,2006,"F",0.1998933
5,2007,"F",0.129563
5,2008,"F",0.1239599
5,2009,"F",0.1467373
5,2010,"F",0.1134283
5,2011,"F",0.1407322
5,2012,"F",0.1254767
5,2013,"F",0.09301002
