"Peel","Year","metric","value"
5,2007,"SSB",7536.233
5,2008,"SSB",10793.59
5,2009,"SSB",13322.53
5,2010,"SSB",14685.96
5,2011,"SSB",17046.63
5,2012,"SSB",17883.74
5,2013,"SSB",17417.59
5,1973,"F",0.8465436
5,1974,"F",1.169903
5,1975,"F",1.714469
5,1976,"F",1.541052
5,1977,"F",1.422177
5,1978,"F",1.289601
5,1979,"F",0.7763816
5,1980,"F",0.5895981
5,1981,"F",0.5322701
5,1982,"F",0.900306
5,1983,"F",1.190682
5,1984,"F",1.770755
5,1985,"F",1.171702
5,1986,"F",0.9529783
5,1987,"F",1.139087
5,1988,"F",0.8545211
5,1989,"F",0.3316639
5,1990,"F",0.8257173
5,1991,"F",0.634133
5,1992,"F",1.058056
5,1993,"F",0.7937289
5,1994,"F",0.8642613
5,1995,"F",0.338575
5,1996,"F",0.3042742
5,1997,"F",0.3619809
5,1998,"F",0.5385852
5,1999,"F",0.5089107
5,2000,"F",0.7136226
5,2001,"F",0.8219847
5,2002,"F",0.6556892
5,2003,"F",0.8272284
5,2004,"F",1.288496
5,2005,"F",0.9842079
5,2006,"F",0.5765738
5,2007,"F",0.3487062
5,2008,"F",0.2383093
5,2009,"F",0.2028518
5,2010,"F",0.1143129
5,2011,"F",0.0971581
5,2012,"F",0.05281652
5,2013,"F",0.0153411
